Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	rate01	rate10	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_loss	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-2089.957	-2243.279	153.3224	0.113026	0.0240902	0.009745	0.0404382	0.0476116	0.0295968	0.0293415	0.00453388	0.00594833	0.0652262	0.0498698	0.0572389	0.0135864	0.0472319	0.0421598	0.0766298	0.0312343	0.0248021	0.00324179	0.00257791	0.108381	0.0339211	0.00696102	0.00761838	0.00164646	0.00346976	0.000927257	0.00156815	0.000894984	0.000732256	0.00139791	0.00148823	0.00385264	0.0187954	0.0078432	0.00917904	0.00537415	0.00563697	0.00468666	0.0136459	0.0182305	0.0113594	0.00169545	0.0197451	0.0119634	0.0197029	0.0634696	0.00258569	0.00585242	0.00368759	0.0110778	0.0485596	0.0260843	0.0121722	0.0293676	0.0453146	0.0125893	0.00043276	0.00519235	0.00121272	0.0275964	0.0363716	0.00453852	0.00964775	0.0658876	0.0782546	0.0402349	0.0042335	0.0036824	0.0209721	0.0141526	0.0193998	0.00351815	0.0195262	0.00301439	0.0061769	0.0190872	0.0112328	0.00992554	0.0132857	0.00267833	0.0183718	0.00519976	0.00813427	0.00493206	0.00283685	0.0455732	0.0687613	0.000581028	0.00359689	0.00437984	0.3157833	1.684217	0.107734	0.337346	0.712473	1.40356	2.96432	9.28216	1.611065	5.333457	0.060049	0.0127988	0.00517737	0.0214842	0.0252953	0.0157243	0.0155887	0.00240878	0.00316026	0.0346537	0.026495	0.0304101	0.00721825	0.0250936	0.0223989	0.0407123	0.0165943	0.013177	0.00172231	0.0013696	0.0575811	0.0180218	0.00369828	0.00404753	0.000874737	0.00184343	0.000492637	0.000833134	0.000475491	0.000389037	0.00074269	0.000790673	0.00204685	0.0099857	0.00416697	0.00487668	0.0028552	0.00299483	0.00248995	0.00724987	0.00968556	0.00603507	0.000900766	0.0104903	0.00635597	0.0104679	0.0337204	0.00137374	0.0031093	0.00195916	0.00588546	0.025799	0.0138582	0.00646691	0.0156025	0.024075	0.00668852	0.000229919	0.00275862	0.000644297	0.0146616	0.0193237	0.00241124	0.0051257	0.0350051	0.0415755	0.0213762	0.00224919	0.0019564	0.0111422	0.00751909	0.0103068	0.00186914	0.010374	0.0016015	0.00328169	0.0101407	0.0059678	0.00527329	0.00705847	0.00142296	0.00976067	0.00276255	0.00432161	0.00262033	0.00150717	0.0242123	0.0365319	0.000308691	0.00191097	0.00232694	0.664935	0.335065	0.6649352	1.88223
36	-2088.823	-2241.604	152.7809	0.168087	0.0182184	0.015045	0.0197316	0.0838828	0.110264	0.0441162	0.00146511	0.00127326	0.0600408	0.036508	0.0553232	0.0104896	0.0424185	0.0452728	0.0758218	0.0923858	0.0696166	0.00569032	0.00800798	0.115491	0.0343721	0.00313031	0.00738303	0.012069	0.00562976	0.000434742	0.00550206	0.00343666	0.00150501	0.000953702	0.00256004	0.00216096	0.0208365	0.0253804	0.00368699	0.0151759	0.00794515	0.00479289	0.0109755	0.0293537	0.00605919	0.00446821	0.0135517	0.0105679	0.0446708	0.0599768	0.00654917	0.00299348	0.00133086	0.0253006	0.0376943	0.051394	0.0233995	0.0299228	0.02887	0.0768759	0.00367094	0.0217743	0.0435778	0.0147758	0.0437017	0.0212405	0.0204883	0.132603	0.149343	0.0336304	0.00450661	0.00385636	0.00409004	0.0147086	0.0186206	0.0056685	0.027327	0.0176857	0.0122292	0.0252978	0.0265922	0.00225851	0.0109677	0.000817328	0.0254793	0.00517934	0.00796044	0.00341545	0.00401044	0.0843398	0.0806441	0.000365674	0.00381262	0.00508282	0.3961816	1.603818	0.133814	0.374966	0.736366	1.35802	2.6669	7.47306	1.454312	4.04819	0.0651556	0.00706199	0.0058319	0.00764855	0.0325155	0.0427416	0.0171008	0.000567919	0.000493554	0.0232736	0.0141516	0.0214449	0.00406607	0.0164427	0.0175491	0.0293908	0.0358115	0.0269855	0.00220574	0.00310413	0.0447676	0.0133237	0.0012134	0.00286188	0.00467831	0.00218226	0.000168519	0.00213276	0.00133215	0.000583387	0.000369683	0.000992347	0.000837654	0.00807687	0.00983819	0.00142919	0.00588262	0.00307978	0.00185787	0.00425443	0.0113784	0.00234872	0.00173201	0.00525306	0.00409642	0.0173157	0.0232488	0.00253865	0.00116036	0.000515881	0.00980728	0.0146114	0.0199219	0.00907035	0.011599	0.0111909	0.0297994	0.00142296	0.00844036	0.016892	0.00572754	0.0169401	0.00823345	0.00794188	0.0514007	0.05789	0.0130361	0.0017469	0.00149484	0.00158542	0.00570149	0.00721789	0.00219728	0.0105928	0.00685552	0.0047404	0.00980617	0.0103079	0.000875466	0.00425142	0.000316821	0.00987655	0.00200767	0.0030857	0.00132393	0.00155457	0.0326926	0.0312601	0.000141746	0.00147788	0.00197025	0.729104	0.270896	0.7291039	2.579781
72	-2092.629	-2242.628	149.9987	0.318242	0.0259736	0.0351262	0.0152484	0.213207	0.0877076	0.078595	0.0138367	0.00128046	0.124174	0.0908293	0.0581519	0.0157154	0.124326	0.0959754	0.089374	0.109582	0.0405674	0.00204119	0.0165054	0.337134	0.100244	0.00389234	0.00917694	0.0210457	0.00797766	0.000626058	0.00748611	0.00759638	0.0102985	0.00480104	0.00165606	0.00327227	0.0585854	0.0147056	0.0253216	0.0148661	0.00625106	0.0108003	0.0216653	0.035254	0.00158138	0.030403	0.00991849	0.0210287	0.0505509	0.116643	0.00740798	0.0047649	0.00779505	0.00314227	0.0915053	0.0504306	0.0469555	0.0324669	0.0576518	0.037594	0.00694777	0.0100068	0.0342824	0.0267784	0.152133	0.022809	0.0404146	0.143289	0.216776	0.0291701	0.00195024	0.0122246	0.0600229	0.0131418	0.00468702	0.0166788	0.11764	0.0796227	0.015698	0.0647241	0.0220383	0.00702888	0.0125292	0.00431146	0.0452828	0.0274533	0.0141709	0.0161167	0.001277	0.0641541	0.156299	0.000624429	0.000428505	0.0034131	0.3309438	1.669056	0.233454	0.491892	0.801437	1.24776	2.03297	4.2835	1.051899	5.043323	0.074476	0.00607842	0.00822034	0.00356849	0.0498953	0.0205256	0.018393	0.00323812	0.000299658	0.0290596	0.0212562	0.0136089	0.00367776	0.0290951	0.0224605	0.0209156	0.0256448	0.00949371	0.000477685	0.00386266	0.0788971	0.0234594	0.000910899	0.00214762	0.00492518	0.00186696	0.000146512	0.00175192	0.00177773	0.00241008	0.00112356	0.000387557	0.000765788	0.0137104	0.00344144	0.00592584	0.00347902	0.00146289	0.00252751	0.00507019	0.00825025	0.00037008	0.007115	0.00232116	0.0049212	0.0118301	0.0272972	0.00173364	0.0011151	0.00182422	0.000735364	0.0214144	0.0118019	0.0109887	0.007598	0.0134919	0.00879788	0.00162594	0.00234182	0.00802288	0.00626676	0.0356027	0.00533784	0.00945796	0.033533	0.0507306	0.00682648	0.000456402	0.00286085	0.0140468	0.0030755	0.00109687	0.00390322	0.0275306	0.0186336	0.00367369	0.0151469	0.00515748	0.00164492	0.00293213	0.00100898	0.0105972	0.0064247	0.00331632	0.00377169	0.000298847	0.0150135	0.0365775	0.000146131	0.00010028	0.000798745	0.731817	0.268183	0.7318169	4.27308
108	-2092.033	-2242.636	150.6034	0.337904	0.045018	0.0186488	0.0320912	0.108663	0.103319	0.10261	0.0112838	0.00297247	0.0726356	0.0556224	0.0893712	0.0705923	0.0861658	0.0426807	0.0710787	0.14499	0.0490002	0.00881843	0.042064	0.272761	0.111381	0.0313112	0.0120417	0.000772348	0.0013071	0.000540765	0.00756357	0.003721	0.00151105	0.00472368	0.01053	0.00113977	0.0597471	0.0114399	0.0300042	0.0225841	0.00666968	0.00946234	0.0208426	0.0315495	0.00252037	0.00950846	0.0226852	0.0230175	0.0559712	0.105692	0.0113053	0.0105352	0.00484133	0.024001	0.0820159	0.0347014	0.0026125	0.0570053	0.105466	0.0698199	0.0117976	0.00823789	0.0555537	0.0379462	0.0317658	0.0148599	0.0413701	0.12741	0.0708669	0.0513386	0.00280867	0.0067984	0.107016	0.0150379	0.0115312	0.0172589	0.0914543	0.0270904	0.00569117	0.0614976	0.0332337	0.0028116	0.0571548	0.00904795	0.06265	0.00894917	0.0208519	0.00504831	0.00627786	0.0503926	0.141549	0.000455299	0.00142437	0.0011263	0.3744991	1.625501	0.192136	0.447316	0.778033	1.28529	2.23556	5.20465	1.19274	4.340466	0.0851758	0.0113477	0.00470083	0.00808926	0.0273907	0.0260437	0.025865	0.00284431	0.000749274	0.0183093	0.0140208	0.0225279	0.0177943	0.0217199	0.0107586	0.0179169	0.0365477	0.0123515	0.00222287	0.0106031	0.0687551	0.028076	0.00789265	0.00303537	0.000194687	0.000329482	0.000136311	0.00190656	0.000937957	0.000380891	0.0011907	0.00265431	0.000287303	0.0150605	0.00288366	0.00756319	0.0056928	0.00168123	0.00238518	0.00525382	0.00795272	0.000635311	0.00239681	0.00571828	0.00580205	0.0141087	0.026642	0.00284975	0.00265562	0.00122036	0.00604996	0.0206738	0.00874721	0.000658536	0.0143694	0.0265848	0.0175996	0.00297384	0.00207653	0.0140035	0.00956514	0.00800724	0.00374576	0.0104282	0.0321164	0.0178635	0.012941	0.000707983	0.00171368	0.0269757	0.00379063	0.00290669	0.00435047	0.023053	0.0068287	0.00143458	0.0155018	0.00837725	0.000708724	0.0144071	0.00228073	0.0157923	0.00225583	0.00525615	0.00127253	0.00158247	0.0127025	0.0356803	0.000114768	0.000359042	0.000283909	0.66731	0.33269	0.6673095	3.967137
144	-2107.549	-2258.214	150.6646	0.274867	0.0265734	0.0358878	0.0276678	0.0394092	0.119296	0.0876703	0.0137756	0.00357028	0.049906	0.0632582	0.109209	0.0608393	0.0489067	0.0688463	0.0796768	0.124141	0.0385462	0.00184276	0.0233765	0.265271	0.0732454	0.00209518	0.00760511	0.0162814	0.00715423	0.00496549	0.00349206	0.00510728	0.00104069	0.00164239	0.00177125	0.0131385	0.0385639	0.0156038	0.00958464	0.0173528	0.00709376	0.0147198	0.0283579	0.080067	0.0235719	0.0218798	0.0301384	0.0319513	0.0653618	0.124171	0.0116832	0.0121416	0.0788181	0.0240254	0.023487	0.0110365	0.0233253	0.0377391	0.0332009	0.0289894	0.0593834	0.0042002	0.231909	0.0411272	0.0238232	0.0835923	0.0023586	0.018779	0.00805672	0.0642842	0.0199426	0.122937	0.00455361	0.0835335	0.0142206	0.0130265	0.146675	0.0211469	0.000975189	0.061184	0.0221903	0.0114538	0.0017035	0.138602	0.0397895	0.0113548	0.00316737	0.0281481	0.0534765	0.0376333	0.00856982	0.00818553	0.00283181	0.00269144	0.3348164	1.665184	0.224404	0.482499	0.79663	1.25529	2.07255	4.45625	1.080487	4.973423	0.070688	0.00683393	0.00922935	0.00711538	0.010135	0.0306797	0.0225463	0.0035427	0.000918177	0.0128344	0.0162682	0.0280854	0.0156462	0.0125774	0.0177054	0.0204906	0.0319256	0.00991301	0.000473907	0.00601178	0.0682204	0.0188367	0.000538821	0.00195582	0.00418712	0.00183987	0.00127699	0.00089806	0.00131345	0.000267635	0.000422377	0.000455515	0.00337885	0.00991757	0.00401286	0.0024649	0.00446266	0.00182432	0.00378552	0.00729287	0.020591	0.00606204	0.00562687	0.00775074	0.00821697	0.0168092	0.0319334	0.0030046	0.00312248	0.0202698	0.00617867	0.00604019	0.00283827	0.00599862	0.00970545	0.00853834	0.00745526	0.0152717	0.00108017	0.0596404	0.0105768	0.00612666	0.0214976	0.000606567	0.00482944	0.00207196	0.0165321	0.00512869	0.031616	0.00117106	0.0214825	0.00365714	0.00335005	0.0377206	0.00543839	0.000250792	0.0157348	0.00570673	0.00294561	0.000438092	0.0356446	0.0102328	0.00292014	0.000814559	0.00723891	0.0137527	0.00967823	0.00220392	0.00210509	0.000728264	0.000692163	0.695878	0.304122	0.6958777	3.888446
180	-2109.094	-2258.316	149.2219	0.282089	0.0597516	0.0258202	0.0674794	0.136148	0.125409	0.11131	0.00494304	0.00369421	0.187996	0.0415998	0.126421	0.0745172	0.00347591	0.12536	0.167329	0.133449	0.0799413	0.00203328	0.00992273	0.260276	0.0734209	0.00532383	0.0490371	0.00527139	0.00296738	0.00495062	0.000582161	0.00794196	2.60347e-05	0.00178101	0.00804746	0.00363189	0.0397607	0.0190615	0.0207064	0.0212433	0.0318781	0.0224749	0.0314155	0.0367811	0.0244173	0.0182331	0.0524538	0.0290025	0.0223691	0.198908	0.00327041	0.0443104	0.0638094	0.0323378	0.0112828	0.0262953	0.0101581	0.0165092	0.117129	0.0347971	0.0848929	0.00170864	0.216376	0.0318503	0.00621825	0.161916	0.00630004	0.0235985	0.00673967	0.127688	0.0278153	0.0179484	0.00871112	0.159641	0.0181615	0.0434655	0.0823411	0.00930565	0.00232006	0.0338245	0.0327934	0.0665103	0.00443349	0.110362	0.118038	0.0018441	0.0193286	0.0287596	0.134123	0.0615255	0.00265073	0.00162903	0.067419	0.0128968	0.3997572	1.600243	0.214634	0.472137	0.791253	1.26382	2.11803	4.65909	1.112673	4.003037	0.0581186	0.0123106	0.00531972	0.0139027	0.0280503	0.0258379	0.0229331	0.00101841	0.000761115	0.0387326	0.00857076	0.0260464	0.0153527	0.000716139	0.0258277	0.0344747	0.0274943	0.0164702	0.000418915	0.00204437	0.0536244	0.0151268	0.00109686	0.0101031	0.00108606	0.000611366	0.00101997	0.000119942	0.00163627	5.36389e-06	0.000366939	0.00165801	0.000748275	0.00819186	0.00392721	0.00426612	0.00437674	0.00656782	0.00463048	0.00647251	0.00757798	0.00503067	0.00375655	0.010807	0.00597536	0.00460869	0.0409809	0.0006738	0.00912922	0.0131466	0.00666252	0.00232458	0.00541759	0.00209286	0.00340136	0.024132	0.0071692	0.0174904	0.000352028	0.0445797	0.00656208	0.00128114	0.0333595	0.00129799	0.00486197	0.00138857	0.0263074	0.00573076	0.00369788	0.00179474	0.0328907	0.0037418	0.00895514	0.0169647	0.00191723	0.000478	0.00696883	0.00675639	0.013703	0.000913427	0.0227377	0.0243192	0.000379939	0.00398225	0.0059253	0.0276332	0.012676	0.000546127	0.000335626	0.0138903	0.00265712	0.533179	0.466821	0.5331789	4.853687
216	-2094.95	-2246.948	151.9988	0.198016	0.0209219	0.0119418	0.00659374	0.107681	0.101271	0.071403	0.0158844	0.00547248	0.0514788	0.0497567	0.0541437	0.0290296	0.0505262	0.0485817	0.0970962	0.114013	0.0415994	0.00400487	0.0237006	0.120325	0.0374065	0.00447592	0.00113071	0.00812725	0.000841755	0.00487169	0.00417777	0.00755481	0.000670135	0.00442004	0.00118403	0.000649853	0.0192349	0.0316379	0.018716	0.0124249	0.0151209	0.0192477	0.018694	0.0138778	0.00050736	0.0229841	0.0230955	0.0267549	0.0172116	0.124418	0.00302266	0.00341664	0.0413168	0.010529	0.0175137	0.0185322	0.0114653	0.0117088	0.0253202	0.0319683	0.0733776	0.00205818	0.16626	0.0307319	0.00384315	0.0698965	0.00232016	0.015392	0.000100857	0.0332018	0.0233355	0.0291908	0.00593046	0.0455122	0.000875122	0.00685982	0.153104	0.00460139	0.00492625	0.0084845	0.0267393	0.0196977	0.00112258	0.0851601	0.0257788	0.0104537	0.0158449	0.0178023	0.0361762	0.0517478	0.00424811	0.000732217	0.0206379	0.00165743	0.302993	1.697007	0.150731	0.397382	0.749825	1.33364	2.51647	6.63432	1.368232	5.600812	0.0698353	0.00737863	0.00421156	0.00232545	0.0379763	0.0357156	0.0251821	0.00560203	0.00193001	0.0181553	0.0175479	0.0190951	0.010238	0.0178193	0.0171336	0.0342434	0.0402094	0.0146711	0.00141242	0.0083586	0.0424356	0.0131923	0.00157855	0.000398774	0.00286628	0.000296866	0.00171812	0.0014734	0.00266439	0.00023634	0.00155884	0.000417578	0.000229187	0.00678367	0.0111579	0.00660067	0.00438195	0.00533275	0.00678819	0.0065929	0.00489437	0.000178933	0.00810591	0.00814522	0.00943578	0.00607009	0.0438792	0.00106602	0.00120496	0.0145714	0.00371331	0.00617663	0.00653585	0.00404352	0.00412941	0.00892979	0.0112744	0.0258784	0.000725869	0.0586356	0.0108384	0.00135538	0.0246508	0.000818262	0.00542839	3.55696e-05	0.0117094	0.00822987	0.0102949	0.00209153	0.016051	0.000308634	0.00241929	0.0539961	0.0016228	0.00173736	0.00299227	0.00943028	0.0069469	0.000395905	0.0300339	0.00909154	0.00368676	0.00558809	0.00627842	0.0127584	0.0182501	0.0014982	0.000258235	0.00727846	0.000584533	0.796065	0.203935	0.7960649	2.835471
252	-2102.319	-2252.451	150.1319	0.187632	0.0631254	0.0726406	0.0179374	0.102117	0.126623	0.0732813	0.0185435	0.0120418	0.0911888	0.0572996	0.145694	0.0798043	0.09628	0.0372296	0.1501	0.164083	0.0774608	0.00812302	0.0194667	0.213733	0.0821547	0.00231999	0.0132004	0.0161953	0.00282903	0.0124846	0.0136079	0.0137243	0.00436343	0.00360346	0.00141582	0.0042511	0.0453345	0.0175524	0.0213606	0.033281	0.00499632	0.0646105	0.0267103	0.0865093	0.00977435	0.0185622	0.0459002	0.0241217	0.0350416	0.117245	0.0120424	0.00376492	0.0422336	0.0666207	0.0160933	0.0603736	0.0126719	0.0154809	0.0944163	0.0695977	0.0641431	0.00102457	0.175643	0.0830755	0.028808	0.107375	0.00394245	0.034034	0.00613963	0.0344048	0.00081276	0.0622452	0.00898322	0.0170353	0.0038499	0.0182419	0.196377	0.0345055	0.0167739	0.029712	0.0153628	0.0263964	0.00398367	0.0212995	0.115762	0.0042399	0.0173227	0.0231555	0.0296801	0.0252787	0.00646031	0.00277144	0.0373923	0.00254847	0.3040662	1.695934	0.277562	0.535211	0.82282	1.21533	1.86842	3.6028	0.9267651	5.577516	0.0448062	0.0150743	0.0173465	0.00428343	0.0243853	0.0302373	0.0174995	0.00442815	0.00287556	0.0217758	0.0136831	0.0347915	0.0190572	0.0229915	0.00889038	0.0358437	0.0391828	0.0184975	0.00193977	0.00464862	0.0510391	0.0196184	0.00055401	0.00315224	0.00386741	0.000675568	0.00298129	0.00324956	0.00327735	0.00104198	0.000860501	0.000338095	0.00101516	0.0108258	0.00419149	0.00510088	0.00794746	0.00119311	0.0154289	0.00637839	0.0206583	0.0023341	0.00443262	0.0109609	0.00576023	0.00836788	0.027998	0.00287571	0.000899058	0.0100853	0.0159089	0.00384305	0.0144171	0.00302602	0.00369681	0.0225465	0.0166198	0.0153173	0.000244666	0.0419433	0.0198383	0.00687931	0.0256409	0.000941451	0.00812727	0.00146613	0.00821583	0.000194086	0.0148641	0.00214518	0.00406799	0.000919351	0.00435613	0.0468946	0.00823986	0.00400558	0.00709519	0.00366861	0.00630342	0.000951294	0.00508629	0.0276437	0.00101248	0.00413664	0.00552951	0.00708757	0.00603652	0.00154271	0.000661816	0.00892922	0.00060857	0.695409	0.304591	0.6954087	4.18763
288	-2091.414	-2243.894	152.4807	0.152564	0.01729	0.0134126	0.0729116	0.0821518	0.0702613	0.0507406	0.0012351	0.00377967	0.0432626	0.0415453	0.110706	0.0540904	0.0215196	0.0405722	0.0590974	0.0808364	0.00179883	0.0101737	0.0314486	0.170865	0.0165293	0.000476097	0.0033705	0.00065973	0.00426704	0.00229088	0.00274119	0.00240829	0.000861918	0.00418871	0.00184978	0.00389172	0.0365096	0.0136912	0.00552122	0.0154817	0.00665326	0.00671134	0.0124552	0.0172762	0.0157461	0.0280283	0.0210659	0.0192279	0.0283112	0.128755	0.00612445	0.00647329	0.00839444	0.0341777	0.0151377	0.0314649	0.0231528	0.0160249	0.0117906	0.0593373	0.00145323	0.00188337	0.00449565	0.0497899	0.0186576	0.013291	0.0120912	0.0514135	0.0687753	0.029124	0.00208285	0.00762756	0.0470301	0.0487992	0.00511686	7.872e-05	0.00525965	0.0497595	0.00417801	0.0138968	0.00617261	0.0101637	0.0578049	0.000951273	0.0085418	0.00393861	0.00402021	0.00540885	0.00633074	0.0392604	0.0603301	0.000798005	0.000558947	0.0107355	0.275429	1.724571	0.135822	0.377701	0.738036	1.35495	2.6476	7.36257	1.443541	6.2614	0.0638043	0.00723091	0.00560933	0.0304925	0.0343569	0.0293841	0.0212204	0.000516534	0.00158071	0.0180929	0.0173748	0.0462986	0.0226213	0.00899976	0.0169678	0.0247153	0.0338068	0.000752294	0.00425475	0.0131522	0.0714578	0.00691275	0.00019911	0.00140958	0.000275907	0.00178453	0.000958074	0.0011464	0.00100717	0.000360465	0.00175177	0.000773602	0.00162757	0.0152687	0.00572582	0.00230904	0.00647465	0.00278248	0.00280676	0.0052089	0.00722513	0.00658523	0.0117218	0.00881002	0.00804133	0.0118401	0.053847	0.00256132	0.00270721	0.00351066	0.0142935	0.00633075	0.013159	0.00968279	0.00670181	0.00493097	0.0248156	0.000607758	0.000787646	0.00188014	0.0208227	0.00780282	0.00555848	0.00505669	0.0215018	0.0287627	0.01218	0.000871073	0.00318994	0.0196686	0.0204084	0.00213993	3.29217e-05	0.00219965	0.02081	0.0017473	0.00581181	0.00258146	0.00425059	0.0241747	0.000397834	0.00357228	0.00164718	0.0016813	0.00226205	0.00264759	0.0164192	0.0252308	0.000333735	0.000233759	0.00448972	0.615455	0.384545	0.6154552	2.391131
324	-2111.131	-2262.986	151.8546	0.320488	0.0203203	0.0495252	0.0101141	0.0800293	0.0711386	0.12594	0.00121086	0.00337997	0.0227326	0.0461477	0.0574455	0.0460723	0.0366291	0.0908125	0.0350131	0.0564078	0.0141345	0.00599951	0.0220647	0.0810373	0.0222404	0.000229679	0.00537479	0.000858881	0.00783588	0.00113463	0.0108614	0.00831369	0.00302688	0.00702314	0.00140168	0.00195661	0.0255147	0.0228365	0.0112263	0.00905282	0.0201467	0.00852247	0.00673725	0.0373902	0.00379497	0.00387993	0.0427511	0.0211349	0.0142195	0.0915869	0.0983068	0.00122117	0.000154333	0.042551	0.00244706	0.00533624	0.0363145	0.0497796	0.0268046	0.0193517	0.000652435	0.0930635	0.00199317	0.00215867	0.0137055	8.2883e-05	0.00179202	0.118286	0.00642047	0.0176754	0.0495648	0.0297539	0.0123666	0.0669461	0.0351079	0.0137108	0.027704	0.00975217	0.0257968	0.0312383	0.0522804	0.0569387	0.0122592	0.0183565	0.00567431	0.00307113	0.0087965	0.0138052	0.026605	0.0326764	0.0391115	0.000514997	0.00376889	0.0105142	0.2743569	1.725643	0.117182	0.351464	0.721645	1.38572	2.84524	8.53372	1.550278	6.289774	0.118257	0.00749799	0.0182743	0.003732	0.02953	0.0262494	0.0464704	0.000446794	0.00124717	0.0083881	0.017028	0.0211968	0.0170002	0.0135157	0.0335088	0.0129194	0.0208139	0.00521547	0.00221376	0.00814165	0.0299019	0.00820646	8.4749e-05	0.00198324	0.000316918	0.00289136	0.000418665	0.00400775	0.00306766	0.00111688	0.00259146	0.000517204	0.000721968	0.00941464	0.00842643	0.0041424	0.0033404	0.00743391	0.0031447	0.00248597	0.0137966	0.0014003	0.00143165	0.0157747	0.00779857	0.00524683	0.0337946	0.0362741	0.0004506	5.69474e-05	0.0157009	0.000902939	0.00196902	0.0133997	0.0183681	0.00989061	0.00714056	0.000240741	0.0343394	0.000735457	0.000796526	0.00505719	3.05829e-05	0.000661235	0.0436463	0.00236909	0.00652202	0.0182889	0.0109789	0.00456313	0.0247024	0.0129545	0.00505913	0.0102225	0.00359845	0.00951874	0.0115266	0.0192909	0.0210098	0.00452352	0.00677336	0.00209376	0.00113322	0.00324581	0.00509397	0.00981696	0.0120572	0.0144317	0.000190028	0.00139068	0.00387963	0.610255	0.389745	0.610255	2.710106
