Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-2089.957	-2243.279	153.3224	1.611065	5.333457	0.664935	0.335065	1.88223
6	-2098.037	-2250.983	152.9459	1.448114	6.792098	0.813286	0.186714	2.009581
12	-2089.737	-2243.116	153.3787	1.615947	5.028692	0.669916	0.330084	1.897096
18	-2085.006	-2238.329	153.3229	1.617083	5.227747	0.616259	0.383741	1.897096
24	-2083.032	-2236.391	153.3588	1.505637	4.1806	0.731753	0.268247	2.152949
30	-2095.384	-2247.284	151.9003	1.414534	6.875008	0.815934	0.184066	2.685053
36	-2088.823	-2241.604	152.7809	1.454312	4.04819	0.729104	0.270896	2.579781
42	-2102.486	-2253.48	150.994	1.349211	5.494316	0.709403	0.290597	3.460762
48	-2094.42	-2246.237	151.8173	1.353997	5.502897	0.665217	0.334783	2.968969
54	-2092.982	-2243.96	150.9782	1.181012	4.166304	0.801217	0.198783	3.790779
60	-2096.843	-2245.329	148.4863	1.046844	3.854551	0.753129	0.246871	5.326248
66	-2097.197	-2245.011	147.8136	0.965426	4.277823	0.611669	0.388331	5.663625
72	-2092.629	-2242.628	149.9987	1.051899	5.043323	0.731817	0.268183	4.27308
78	-2086.142	-2236.953	150.8111	1.245146	5.043323	0.718001	0.281999	3.698013
84	-2088.178	-2237.045	148.8668	1.151445	4.386947	0.630466	0.369534	4.960569
90	-2099.789	-2249.138	149.3488	1.231539	6.118702	0.728613	0.271387	4.382827
96	-2086.045	-2236.533	150.4874	1.084461	4.329012	0.698964	0.301036	4.097255
102	-2099.548	-2248.291	148.7433	1.053064	4.867328	0.570737	0.429263	5.004
108	-2092.033	-2242.636	150.6034	1.19274	4.340466	0.66731	0.33269	3.967137
114	-2084.767	-2235.878	151.1105	1.19274	4.624094	0.733967	0.266033	3.624989
120	-2098.01	-2248.495	150.4849	1.112626	4.543523	0.751845	0.248155	4.044763
126	-2099.807	-2248.043	148.2354	1.252409	5.028733	0.751845	0.248155	5.149837
132	-2107.646	-2257.179	149.5329	1.046817	4.779862	0.605947	0.394053	4.580815
138	-2106.331	-2256.994	150.6631	1.13124	5.510724	0.635127	0.364873	3.776751
144	-2107.549	-2258.214	150.6646	1.080487	4.973423	0.695878	0.304122	3.888446
150	-2108.509	-2259.642	151.1328	1.126427	4.122992	0.784243	0.215757	3.741274
156	-2106.37	-2256.464	150.0941	1.063541	5.008617	0.754392	0.245608	4.217891
162	-2103.963	-2254.809	150.8459	1.097097	4.096185	0.605458	0.394542	3.928203
168	-2101.312	-2252.274	150.9618	0.9536234	3.922267	0.605458	0.394542	3.977402
174	-2108.67	-2257.342	148.6717	0.8400004	3.89157	0.54532	0.45468	5.331021
180	-2109.094	-2258.316	149.2219	1.112673	4.003037	0.533179	0.466821	4.853687
186	-2101.162	-2251.032	149.8705	1.056052	3.443412	0.619007	0.380993	4.634585
192	-2097.262	-2248.154	150.8917	1.172343	4.748641	0.748165	0.251835	3.742044
198	-2093.334	-2243.927	150.5929	1.160608	5.336651	0.640116	0.359884	3.82653
204	-2091.682	-2241.366	149.6832	1.14021	6.205709	0.758258	0.241742	4.233709
210	-2097.028	-2247.487	150.4582	1.296536	6.352447	0.76482	0.23518	3.681029
216	-2094.95	-2246.948	151.9988	1.368232	5.600812	0.796065	0.203935	2.835471
222	-2094.691	-2247.264	152.5732	1.368513	6.410062	0.757996	0.242004	2.358342
228	-2097.69	-2250.421	152.731	1.503914	5.196196	0.647563	0.352437	2.36389
234	-2107.245	-2258.945	151.7005	1.249931	4.91217	0.678609	0.321391	3.196511
240	-2107.805	-2258.856	151.0511	1.093784	3.81901	0.748568	0.251432	3.8664
246	-2095.51	-2247.772	152.2619	1.235675	4.874949	0.683104	0.316896	2.875286
252	-2102.319	-2252.451	150.1319	0.9267651	5.577516	0.695409	0.304591	4.18763
258	-2106.698	-2257.708	151.0101	1.067469	4.680769	0.712172	0.287828	3.745796
264	-2090.64	-2242.594	151.9536	1.265879	5.478478	0.681759	0.318241	2.943795
270	-2085.776	-2237.691	151.9153	1.265879	4.244918	0.649386	0.350614	3.179078
276	-2085.799	-2236.753	150.9536	1.189466	5.99069	0.690707	0.309293	3.505057
282	-2088.348	-2240.434	152.0864	1.409537	5.845257	0.777785	0.222215	2.719508
288	-2091.414	-2243.894	152.4807	1.443541	6.2614	0.615455	0.384545	2.391131
294	-2093.057	-2245.484	152.4271	1.431835	6.2614	0.608808	0.391192	2.432312
300	-2090.048	-2242.329	152.2815	1.371267	5.78167	0.786306	0.213694	2.632709
306	-2093.447	-2246.368	152.9206	1.380368	4.390411	0.802342	0.197658	2.469984
312	-2095.295	-2247.453	152.1579	1.282699	7.141904	0.82357	0.17643	2.572426
318	-2107.632	-2260.835	153.2037	1.319591	3.969244	0.632768	0.367232	2.416267
324	-2111.131	-2262.986	151.8546	1.550278	6.289774	0.610255	0.389745	2.710106
330	-2095.155	-2249.363	154.2078	1.687488	4.427151	0.720298	0.279702	1.373829
336	-2087.369	-2240.833	153.4647	1.762851	5.704875	0.798551	0.201449	1.608627
342	-2094.676	-2248.304	153.6283	1.614065	5.960142	0.777215	0.222785	1.551661
348	-2093.842	-2247.072	153.2304	1.717468	5.881771	0.734692	0.265308	1.775958
354	-2101.192	-2254.567	153.3751	1.531037	4.975087	0.797774	0.202226	1.966936
360	-2097.714	-2250.999	153.2854	1.498443	4.975087	0.746066	0.253934	2.048369
366	-2097.353	-2251.157	153.8043	1.511137	4.148484	0.651393	0.348607	1.859398
372	-2098.914	-2251.984	153.0698	1.589402	6.220115	0.65642	0.34358	1.918277
378	-2091.353	-2244.048	152.695	1.503309	6.881183	0.74271	0.25729	2.125895
384	-2090.551	-2244.002	153.4508	1.584554	3.797188	0.766645	0.233355	2.125895
390	-2092.111	-2245.799	153.6881	1.584554	5.477128	0.766645	0.233355	1.618144
396	-2086.234	-2239.887	153.6525	1.711217	5.610781	0.847116	0.152884	1.526166
402	-2086.62	-2240.008	153.3877	1.635288	5.610781	0.72593	0.27407	1.77085
408	-2084.881	-2238.506	153.6256	1.417873	4.59915	0.843013	0.156987	1.948151
414	-2093.688	-2246.182	152.4935	1.252345	5.082167	0.656904	0.343096	2.688366
420	-2098.618	-2249.845	151.2265	1.2325	5.165691	0.68217	0.31783	3.44417
426	-2091.413	-2242.6	151.1869	1.220309	5.358294	0.68217	0.31783	3.44417
432	-2097.752	-2247.745	149.9936	1.178604	6.373103	0.680817	0.319183	4.013111
438	-2093.999	-2244.136	150.1367	1.211847	5.439601	0.690001	0.309999	4.042946
444	-2099.044	-2251.014	151.9691	1.350105	3.204021	0.742229	0.257771	3.31801
450	-2094.383	-2246.385	152.0022	1.300892	5.41148	0.660691	0.339309	2.903897
456	-2090.576	-2239.515	148.939	1.122853	5.41148	0.676193	0.323807	4.773003
462	-2089.693	-2241.811	152.1185	1.330777	4.3519	0.68844	0.31156	2.998907
468	-2089.655	-2240.134	150.4786	1.342798	4.644894	0.709856	0.290144	3.899266
474	-2086.688	-2238.559	151.8709	1.433803	6.055568	0.673971	0.326029	2.805043
480	-2083.854	-2237.081	153.2271	1.544781	4.120978	0.744861	0.255139	2.225591
486	-2087.914	-2240.919	153.0056	1.535086	6.832318	0.760037	0.239963	1.905213
492	-2090.856	-2244.282	153.4263	1.360206	4.546323	0.794933	0.205067	2.128978
498	-2092.155	-2245.973	153.8177	1.68409	3.928751	0.763731	0.236269	1.781562
504	-2087.545	-2241.002	153.4562	1.647423	6.162281	0.763138	0.236862	1.617655
510	-2101.783	-2256.237	154.4538	1.781653	3.879467	0.731026	0.268974	1.243325
